ID_Venta,Fecha,ID_Cliente,ID_Producto,Cantidad,Metodo_Pago_cat,Estado,Categoria,ID_Categoria,Precio_Unitario,Region,ID_Metodo,Metodo_Pago,ID_Ticket,Monto_Venta
102,2024-04-10,282,26,1,3,Completa,Congelados,5,9.54,Centro,3,Tarjeta de Débito,2541,9.54
103,2024-05-04,98,17,3,5,Completa,Frutas y Verduras,4,6.54,Centro,5,Transferencia,902,19.62
104,2024-07-25,171,21,2,5,Completa,Frutas y Verduras,4,3.25,Cuyo,5,Transferencia,1564,6.5
105,2024-09-29,24,24,1,4,Completa,Congelados,5,13.54,Cuyo,4,Mercado Pago,216,13.54
106,2024-12-21,67,21,6,4,Completa,Frutas y Verduras,4,3.25,NEA,4,Mercado Pago,618,19.5
107,2024-11-13,7,24,5,5,Completa,Congelados,5,13.54,Cuyo,5,Transferencia,56,67.69999999999999
108,2024-04-08,153,17,4,4,Completa,Frutas y Verduras,4,6.54,Cuyo,4,Mercado Pago,1387,26.16
109,2024-10-31,285,34,6,2,Completa,Galletitas y Snacks,7,5.45,Patagonia,2,Tarjeta de Crédito,2573,32.7
111,2024-11-22,103,29,5,2,Completa,Bebidas,6,11.54,Patagonia,2,Tarjeta de Crédito,949,57.699999999999996
112,2024-09-27,3,31,1,3,Completa,Galletitas y Snacks,7,5.24,Patagonia,3,Tarjeta de Débito,21,5.24
113,2024-03-25,72,19,1,3,Pendiente,Frutas y Verduras,4,6.54,Centro,3,Tarjeta de Débito,662,6.54
114,2024-08-07,46,23,6,1,Completa,Congelados,5,8.23,Centro,1,Efectivo,407,49.38
115,2024-11-26,19,21,4,3,Completa,Frutas y Verduras,4,3.25,Centro,3,Tarjeta de Débito,165,13.0
116,2024-02-07,71,35,4,3,Completa,Conservas,8,4.25,Buenos Aires,3,Tarjeta de Débito,652,17.0
118,2024-03-20,26,25,4,5,Completa,Congelados,5,15.45,Centro,5,Transferencia,233,61.8
119,2024-04-24,55,21,4,5,Completa,Frutas y Verduras,4,3.25,Patagonia,5,Transferencia,494,13.0
120,2024-11-25,16,38,4,2,Pendiente,Conservas,8,6.21,Buenos Aires,2,Tarjeta de Crédito,142,24.84
121,2024-07-30,114,38,4,5,Completa,Conservas,8,6.21,Centro,5,Transferencia,1047,24.84
122,2024-12-04,237,14,5,1,Completa,Panadería,3,12.36,Buenos Aires,1,Efectivo,2157,61.8
123,2024-02-29,169,32,5,5,Completa,Galletitas y Snacks,7,6.25,Centro,5,Transferencia,1538,31.25
124,2024-03-14,173,13,5,3,Completa,Panadería,3,12.56,Patagonia,3,Tarjeta de Débito,1574,62.800000000000004
126,2024-08-07,24,26,5,3,Completa,Congelados,5,9.54,Cuyo,3,Tarjeta de Débito,214,47.699999999999996
129,2024-08-16,25,14,2,3,Completa,Panadería,3,12.36,Patagonia,3,Tarjeta de Débito,229,24.72
130,2024-07-06,273,29,4,1,Completa,Bebidas,6,11.54,Cuyo,1,Efectivo,2463,46.16
131,2024-02-18,17,23,5,4,Completa,Congelados,5,8.23,Buenos Aires,4,Mercado Pago,143,41.150000000000006
132,2024-10-21,95,27,1,4,Pendiente,Bebidas,6,6.21,Buenos Aires,4,Mercado Pago,878,6.21
133,2024-05-23,220,22,4,4,Completa,Frutas y Verduras,4,4.21,Centro,4,Mercado Pago,1997,16.84
135,2024-04-21,254,38,2,5,Completa,Conservas,8,6.21,Patagonia,5,Transferencia,2301,12.42
136,2024-08-23,258,26,3,4,Completa,Congelados,5,9.54,Centro,4,Mercado Pago,2338,28.619999999999997
137,2024-10-07,264,15,1,5,Pendiente,Panadería,3,3.51,Buenos Aires,5,Transferencia,2385,3.51
138,2024-12-16,148,19,5,5,Completa,Frutas y Verduras,4,6.54,Centro,5,Transferencia,1341,32.7
140,2024-05-07,220,29,3,5,Completa,Bebidas,6,11.54,Centro,5,Transferencia,1995,34.62
142,2024-08-25,246,21,2,2,Completa,Frutas y Verduras,4,3.25,NEA,2,Tarjeta de Crédito,2230,6.5
143,2024-07-13,184,31,6,2,Completa,Galletitas y Snacks,7,5.24,Buenos Aires,2,Tarjeta de Crédito,1680,31.44
145,2024-12-07,257,13,4,3,Completa,Panadería,3,12.56,NEA,3,Tarjeta de Débito,2330,50.24
147,2024-09-05,213,32,6,5,Completa,Galletitas y Snacks,7,6.25,Centro,5,Transferencia,1938,37.5
151,2024-12-01,317,20,2,2,Completa,Frutas y Verduras,4,4.25,NEA,2,Tarjeta de Crédito,2863,8.5
154,2024-09-02,164,16,2,5,Completa,Panadería,3,15.23,Centro,5,Transferencia,1490,30.46
157,2024-12-18,179,18,1,4,Pendiente,Frutas y Verduras,4,7.25,Buenos Aires,4,Mercado Pago,1634,7.25
158,2024-11-04,319,26,2,5,Pendiente,Congelados,5,9.54,Patagonia,5,Transferencia,2881,19.08
159,2024-10-05,217,26,2,1,Completa,Congelados,5,9.54,Centro,1,Efectivo,1971,19.08
160,2024-04-02,106,25,6,4,Completa,Congelados,5,15.45,NEA,4,Mercado Pago,973,92.69999999999999
161,2024-11-29,134,14,5,3,Completa,Panadería,3,12.36,Cuyo,3,Tarjeta de Débito,1228,61.8
162,2024-12-25,319,16,5,3,Completa,Panadería,3,15.23,Patagonia,3,Tarjeta de Débito,2883,76.15
164,2024-10-06,233,18,2,4,Completa,Frutas y Verduras,4,7.25,Centro,4,Mercado Pago,2116,14.5
166,2024-02-18,25,13,5,5,Completa,Panadería,3,12.56,Patagonia,5,Transferencia,219,62.800000000000004
167,2024-12-08,1,28,4,5,Completa,Bebidas,6,9.45,Patagonia,5,Transferencia,11,37.8
169,2024-05-02,279,24,4,2,Completa,Congelados,5,13.54,Centro,2,Tarjeta de Crédito,2515,54.16
170,2024-03-25,269,20,3,4,Completa,Frutas y Verduras,4,4.25,Centro,4,Mercado Pago,2424,12.75
171,2024-09-30,50,27,3,5,Completa,Bebidas,6,6.21,Buenos Aires,5,Transferencia,453,18.63
172,2024-03-27,268,24,6,1,Completa,Congelados,5,13.54,NOA,1,Efectivo,2414,81.24
173,2024-10-23,168,36,1,5,Completa,Conservas,8,3.25,Centro,5,Transferencia,1532,3.25
176,2024-11-09,68,33,6,5,Completa,Galletitas y Snacks,7,8.54,Patagonia,5,Transferencia,627,51.239999999999995
177,2024-06-02,316,21,5,4,Completa,Frutas y Verduras,4,3.25,Centro,4,Mercado Pago,2846,16.25
178,2024-07-29,159,21,1,3,Pendiente,Frutas y Verduras,4,3.25,NEA,3,Tarjeta de Débito,1445,3.25
180,2024-05-20,58,25,3,3,Pendiente,Congelados,5,15.45,Buenos Aires,3,Tarjeta de Débito,527,46.349999999999994
181,2024-07-06,143,34,6,1,Completa,Galletitas y Snacks,7,5.45,Buenos Aires,1,Efectivo,1293,32.7
182,2024-05-10,301,13,2,3,Completa,Panadería,3,12.56,Cuyo,3,Tarjeta de Débito,2697,25.12
183,2024-03-01,31,38,3,3,Completa,Conservas,8,6.21,Centro,3,Tarjeta de Débito,278,18.63
184,2024-07-05,150,34,6,1,Completa,Galletitas y Snacks,7,5.45,Buenos Aires,1,Efectivo,1353,32.7
185,2024-05-30,97,28,5,4,Completa,Bebidas,6,9.45,Buenos Aires,4,Mercado Pago,892,47.25
186,2024-09-19,204,12,1,2,Completa,Panadería,3,8.12,Patagonia,2,Tarjeta de Crédito,1850,8.12
188,2024-11-09,323,36,5,5,Pendiente,Conservas,8,3.25,Centro,5,Transferencia,2915,16.25
189,2024-03-29,170,30,1,1,Completa,Bebidas,6,13.54,Centro,1,Efectivo,1544,13.54
190,2024-05-26,21,23,1,5,Completa,Congelados,5,8.23,Buenos Aires,5,Transferencia,180,8.23
192,2024-06-25,97,27,4,5,Completa,Bebidas,6,6.21,Buenos Aires,5,Transferencia,894,24.84
194,2024-04-15,45,32,5,5,Pendiente,Galletitas y Snacks,7,6.25,Buenos Aires,5,Transferencia,395,31.25
195,2024-12-15,71,13,4,2,Completa,Panadería,3,12.56,Buenos Aires,2,Tarjeta de Crédito,661,50.24
196,2024-12-01,104,27,4,1,Completa,Bebidas,6,6.21,Buenos Aires,1,Efectivo,961,24.84
197,2024-05-30,211,26,1,4,Completa,Congelados,5,9.54,Centro,4,Mercado Pago,1915,9.54
199,2024-03-16,226,30,4,4,Pendiente,Bebidas,6,13.54,Patagonia,4,Mercado Pago,2050,54.16
200,2024-11-26,142,35,6,2,Completa,Conservas,8,4.25,Cuyo,2,Tarjeta de Crédito,1289,25.5
201,2024-07-02,141,14,3,4,Completa,Panadería,3,12.36,NEA,4,Mercado Pago,1275,37.08
203,2024-09-01,322,31,6,3,Completa,Galletitas y Snacks,7,5.24,NEA,3,Tarjeta de Débito,2904,31.44
206,2024-08-27,96,30,5,4,Completa,Bebidas,6,13.54,Buenos Aires,4,Mercado Pago,884,67.69999999999999
207,2024-02-17,203,20,2,5,Completa,Frutas y Verduras,4,4.25,Buenos Aires,5,Transferencia,1835,8.5
208,2024-03-19,66,29,3,1,Completa,Bebidas,6,11.54,Buenos Aires,1,Efectivo,603,34.62
209,2024-03-31,311,35,3,2,Completa,Conservas,8,4.25,Buenos Aires,2,Tarjeta de Crédito,2786,12.75
210,2024-03-07,215,35,3,4,Completa,Conservas,8,4.25,NEA,4,Mercado Pago,1952,12.75
211,2024-08-04,264,32,2,5,Completa,Galletitas y Snacks,7,6.25,Buenos Aires,5,Transferencia,2383,12.5
213,2024-12-19,322,21,4,4,Completa,Frutas y Verduras,4,3.25,NEA,4,Mercado Pago,2906,13.0
215,2024-02-07,64,31,2,4,Pendiente,Galletitas y Snacks,7,5.24,NEA,4,Mercado Pago,587,10.48
217,2024-04-29,100,17,4,5,Completa,Frutas y Verduras,4,6.54,NEA,5,Transferencia,921,26.16
218,2024-12-15,36,35,1,2,Completa,Conservas,8,4.25,Buenos Aires,2,Tarjeta de Crédito,331,4.25
219,2024-07-02,24,23,6,4,Completa,Congelados,5,8.23,Cuyo,4,Mercado Pago,212,49.38
223,2024-02-18,221,29,1,5,Completa,Bebidas,6,11.54,Buenos Aires,5,Transferencia,2001,11.54
225,2024-03-14,104,38,3,4,Pendiente,Conservas,8,6.21,Buenos Aires,4,Mercado Pago,953,18.63
229,2024-12-12,153,14,5,4,Completa,Panadería,3,12.36,Cuyo,4,Mercado Pago,1394,61.8
231,2024-11-23,39,31,3,1,Pendiente,Galletitas y Snacks,7,5.24,Patagonia,1,Efectivo,354,15.72
232,2024-04-03,144,24,3,3,Completa,Congelados,5,13.54,NEA,3,Tarjeta de Débito,1299,40.62
234,2024-10-31,255,37,5,5,Completa,Conservas,8,3.65,Buenos Aires,5,Transferencia,2316,18.25
236,2024-02-18,44,21,4,5,Pendiente,Frutas y Verduras,4,3.25,Buenos Aires,5,Transferencia,384,13.0
237,2024-02-12,182,21,4,1,Completa,Frutas y Verduras,4,3.25,Centro,1,Efectivo,1657,13.0
239,2024-04-10,197,37,6,5,Completa,Conservas,8,3.65,Cuyo,5,Transferencia,1789,21.9
240,2024-10-04,312,29,4,3,Completa,Bebidas,6,11.54,Cuyo,3,Tarjeta de Débito,2804,46.16
243,2024-06-15,54,32,3,4,Completa,Galletitas y Snacks,7,6.25,Buenos Aires,4,Mercado Pago,484,18.75
245,2024-04-05,101,32,4,4,Completa,Galletitas y Snacks,7,6.25,Buenos Aires,4,Mercado Pago,927,25.0
246,2024-07-14,171,26,3,2,Completa,Congelados,5,9.54,Cuyo,2,Tarjeta de Crédito,1563,28.619999999999997
247,2024-08-22,63,32,6,4,Completa,Galletitas y Snacks,7,6.25,Buenos Aires,4,Mercado Pago,580,37.5
249,2024-03-28,1,31,2,5,Pendiente,Galletitas y Snacks,7,5.24,Patagonia,5,Transferencia,3,10.48
250,2024-11-08,313,24,3,5,Pendiente,Congelados,5,13.54,Cuyo,5,Transferencia,2820,40.62
252,2024-09-07,222,23,3,3,Completa,Congelados,5,8.23,Centro,3,Tarjeta de Débito,2017,24.69
253,2024-11-18,14,15,2,5,Completa,Panadería,3,3.51,Buenos Aires,5,Transferencia,127,7.02
254,2024-09-28,324,29,1,2,Completa,Bebidas,6,11.54,NEA,2,Tarjeta de Crédito,2923,11.54
255,2024-08-24,237,22,4,2,Completa,Frutas y Verduras,4,4.21,Buenos Aires,2,Tarjeta de Crédito,2154,16.84
257,2024-07-29,249,28,5,4,Pendiente,Bebidas,6,9.45,Buenos Aires,4,Mercado Pago,2263,47.25
258,2024-08-12,42,31,1,4,Completa,Galletitas y Snacks,7,5.24,Patagonia,4,Mercado Pago,376,5.24
259,2024-04-21,288,32,3,2,Completa,Galletitas y Snacks,7,6.25,Buenos Aires,2,Tarjeta de Crédito,2602,18.75
260,2024-06-06,17,14,1,3,Completa,Panadería,3,12.36,Buenos Aires,3,Tarjeta de Débito,148,12.36
262,2024-02-03,156,33,3,4,Pendiente,Galletitas y Snacks,7,8.54,Patagonia,4,Mercado Pago,1409,25.619999999999997
264,2024-12-07,275,24,4,4,Completa,Congelados,5,13.54,Buenos Aires,4,Mercado Pago,2483,54.16
265,2024-03-30,257,28,1,1,Completa,Bebidas,6,9.45,NEA,1,Efectivo,2324,9.45
267,2024-02-24,273,13,1,4,Pendiente,Panadería,3,12.56,Cuyo,4,Mercado Pago,2458,12.56
268,2024-06-28,119,32,5,1,Completa,Galletitas y Snacks,7,6.25,Patagonia,1,Efectivo,1089,31.25
269,2024-12-06,66,15,2,1,Completa,Panadería,3,3.51,Buenos Aires,1,Efectivo,610,7.02
274,2024-10-03,105,23,5,4,Completa,Congelados,5,8.23,Buenos Aires,4,Mercado Pago,967,41.150000000000006
278,2024-11-08,180,19,3,1,Completa,Frutas y Verduras,4,6.54,Buenos Aires,1,Efectivo,1648,19.62
283,2024-11-02,292,21,5,1,Pendiente,Frutas y Verduras,4,3.25,Patagonia,1,Efectivo,2637,16.25
284,2024-06-03,176,36,5,4,Completa,Conservas,8,3.25,NEA,4,Mercado Pago,1604,16.25
285,2024-10-11,239,15,2,1,Completa,Panadería,3,3.51,Buenos Aires,1,Efectivo,2169,7.02
286,2024-05-23,317,12,4,4,Completa,Panadería,3,8.12,NEA,4,Mercado Pago,2857,32.48
287,2024-05-02,70,23,6,2,Completa,Congelados,5,8.23,Centro,2,Tarjeta de Crédito,642,49.38
288,2024-07-04,88,32,3,4,Completa,Galletitas y Snacks,7,6.25,Patagonia,4,Mercado Pago,812,18.75
289,2024-10-03,225,31,2,5,Completa,Galletitas y Snacks,7,5.24,Buenos Aires,5,Transferencia,2045,10.48
290,2024-03-05,123,31,4,2,Completa,Galletitas y Snacks,7,5.24,Patagonia,2,Tarjeta de Crédito,1122,20.96
291,2024-07-22,79,37,6,3,Completa,Conservas,8,3.65,Patagonia,3,Tarjeta de Débito,729,21.9
292,2024-09-22,221,26,6,4,Completa,Congelados,5,9.54,Buenos Aires,4,Mercado Pago,2005,57.239999999999995
293,2024-03-31,310,35,3,3,Completa,Conservas,8,4.25,Patagonia,3,Tarjeta de Débito,2779,12.75
294,2024-02-15,85,24,3,2,Completa,Congelados,5,13.54,Cuyo,2,Tarjeta de Crédito,782,40.62
295,2024-03-27,223,32,6,2,Completa,Galletitas y Snacks,7,6.25,Buenos Aires,2,Tarjeta de Crédito,2022,37.5
299,2024-09-07,60,28,2,1,Pendiente,Bebidas,6,9.45,NEA,1,Efectivo,552,18.9
301,2024-10-13,326,21,4,4,Completa,Frutas y Verduras,4,3.25,Cuyo,4,Mercado Pago,2946,13.0
302,2024-06-08,155,14,2,4,Completa,Panadería,3,12.36,Cuyo,4,Mercado Pago,1402,24.72
306,2024-07-02,14,38,2,5,Completa,Conservas,8,6.21,Buenos Aires,5,Transferencia,122,12.42
307,2024-10-16,50,27,1,2,Completa,Bebidas,6,6.21,Buenos Aires,2,Tarjeta de Crédito,455,6.21
308,2024-07-30,153,29,2,4,Completa,Bebidas,6,11.54,Cuyo,4,Mercado Pago,1390,23.08
309,2024-06-14,148,33,3,5,Completa,Galletitas y Snacks,7,8.54,Centro,5,Transferencia,1332,25.619999999999997
310,2024-10-12,152,25,3,5,Completa,Congelados,5,15.45,NOA,5,Transferencia,1383,46.349999999999994
311,2024-03-06,68,24,6,4,Completa,Congelados,5,13.54,Patagonia,4,Mercado Pago,620,81.24
312,2024-06-08,101,38,2,3,Completa,Conservas,8,6.21,Buenos Aires,3,Tarjeta de Débito,929,12.42
313,2024-08-02,250,30,1,5,Completa,Bebidas,6,13.54,Centro,5,Transferencia,2272,13.54
315,2024-08-12,182,14,2,5,Pendiente,Panadería,3,12.36,Centro,5,Transferencia,1660,24.72
316,2024-12-13,119,29,5,1,Completa,Bebidas,6,11.54,Patagonia,1,Efectivo,1094,57.699999999999996
319,2024-11-28,199,12,4,4,Completa,Panadería,3,8.12,Buenos Aires,4,Mercado Pago,1809,32.48
320,2024-09-06,93,38,3,3,Completa,Conservas,8,6.21,Buenos Aires,3,Tarjeta de Débito,857,18.63
321,2024-03-28,205,35,4,5,Completa,Conservas,8,4.25,Patagonia,5,Transferencia,1853,17.0
323,2024-07-26,295,22,3,2,Completa,Frutas y Verduras,4,4.21,Cuyo,2,Tarjeta de Crédito,2654,12.629999999999999
326,2024-10-17,132,32,3,2,Pendiente,Galletitas y Snacks,7,6.25,Buenos Aires,2,Tarjeta de Crédito,1204,18.75
327,2024-04-04,203,27,4,2,Completa,Bebidas,6,6.21,Buenos Aires,2,Tarjeta de Crédito,1837,24.84
328,2024-04-13,167,23,3,3,Pendiente,Congelados,5,8.23,Buenos Aires,3,Tarjeta de Débito,1513,24.69
329,2024-05-22,234,13,2,5,Completa,Panadería,3,12.56,Buenos Aires,5,Transferencia,2121,25.12
330,2024-06-20,63,13,3,1,Completa,Panadería,3,12.56,Buenos Aires,1,Efectivo,579,37.68
331,2024-10-29,157,35,2,3,Completa,Conservas,8,4.25,Patagonia,3,Tarjeta de Débito,1425,8.5
332,2024-12-16,309,14,3,5,Completa,Panadería,3,12.36,Centro,5,Transferencia,2777,37.08
